iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,train_state_value,normalized_return,capped_normalized_return,human_gap
0,0,-20.754716981132077,nan,159,0,1572.164053377738,nan,1.0,nan,-0.0015500561227217505,-0.0015500561227217505,1.0015500561227217
1,1000000,-20.664556962025316,-20.2992700729927,158,274,1566.0652119819329,1155.8449870686024,0.2800009,-0.17616289722801945,0.001004052067271494,0.001004052067271494,0.9989959479327285
2,2000000,-21.0,-20.67676767676768,164,297,1563.603896592629,1106.7714334480022,0.1,-0.41047241905961307,-0.00849858356940512,-0.00849858356940512,1.0084985835694051
3,3000000,-20.333333333333332,-20.681818181818183,102,286,1540.6902321329958,1076.4435761384204,0.1,-0.6868562635641838,0.01038715769593958,0.01038715769593958,0.9896128423040604
4,4000000,-20.4625,-20.497695852534562,80,217,1536.6110322571715,1053.348372467853,0.1,-0.7391727788688637,0.006728045325779058,0.006728045325779058,0.9932719546742209
5,5000000,-20.40740740740741,-19.960526315789473,81,152,1547.4011098595342,1065.3625143937777,0.1,-0.8397319545962777,0.008288741999790112,0.008288741999790112,0.9917112580002099
6,6000000,-18.41509433962264,-19.551181102362204,53,127,1553.6594030380045,1060.5406327490819,0.1,-0.6447203820708982,0.06472820567641242,0.06472820567641242,0.9352717943235875
7,7000000,-16.25,-17.009708737864077,44,103,1545.8955104281256,1064.1318319155348,0.1,-0.5996707481769852,0.12606232294617561,0.12606232294617561,0.8739376770538244
8,8000000,-17.725490196078432,-17.508928571428573,51,112,1543.7620659591087,1063.8596969750502,0.1,-0.4529947116327506,0.08426373382214071,0.08426373382214071,0.9157362661778593
9,9000000,-17.155555555555555,-16.484848484848484,45,99,1572.1231288723295,1064.9490638916764,0.1,-0.24299890318914566,0.10040919106074914,0.10040919106074914,0.8995908089392508
