iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,train_state_value,normalized_return,capped_normalized_return,human_gap
0,0,-21.0,nan,164,0,1466.1808049475762,nan,1.0,nan,-0.00849858356940512,-0.00849858356940512,1.0084985835694051
1,1000000,-20.748427672955973,-20.28205128205128,159,273,1455.5011751822208,997.7567851343384,0.2800009,-0.14740510957954933,-0.0013718887522938764,-0.0013718887522938764,1.0013718887522938
2,2000000,-20.633093525179856,-20.725752508361204,139,299,1503.5406367838305,970.7707834382802,0.1,-0.34581089709940693,0.0018953675586442936,0.0018953675586442936,0.9981046324413557
3,3000000,-20.37704918032787,-20.417857142857144,122,280,1414.8065937374877,918.1634013015716,0.1,-0.7213791448546618,0.00914874843263824,0.00914874843263824,0.9908512515673618
4,4000000,-19.30701754385965,-19.76068376068376,114,234,1442.170832314349,923.1792194316045,0.1,-0.7123356498939726,0.03946125938074642,0.03946125938074642,0.9605387406192536
5,5000000,-16.818181818181817,-17.58433734939759,66,166,1423.8930600208062,924.7740153706505,0.1,-0.8966658760631063,0.10996652073139329,0.10996652073139329,0.8900334792686067
6,6000000,-14.222222222222221,-15.007518796992482,63,133,1441.2217906650847,920.5666310024737,0.1,-0.6532687091915077,0.18350645262826568,0.18350645262826568,0.8164935473717343
7,7000000,-10.452830188679245,-13.109243697478991,53,119,1418.4095237176568,909.159499873792,0.1,-0.3927547066488641,0.2902880966379817,0.2902880966379817,0.7097119033620183
8,8000000,-5.785714285714286,-11.685185185185185,42,108,1441.659071789385,938.6108705382792,0.1,-0.28453140197763827,0.42250101173613924,0.42250101173613924,0.5774989882638608
9,9000000,-1.9411764705882353,-7.151162790697675,34,86,1418.967729706213,908.227128998402,0.1,-0.017563906161509005,0.5314114314280953,0.5314114314280953,0.4685885685719047
10,10000000,-1.34375,-4.946666666666666,32,75,1511.8641492013583,920.4408548941824,0.1,0.22486471680567807,0.5483356940509915,0.5483356940509915,0.4516643059490085
11,11000000,0.9354838709677419,-2.8970588235294117,31,68,1419.4847195720486,934.9577376273796,0.1,0.38747390957218636,0.6129032258064516,0.6129032258064516,0.3870967741935484
