iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,train_state_value,normalized_return,capped_normalized_return,human_gap
0,0,-21.0,nan,164,0,1585.211072349423,nan,1.0,nan,-0.00849858356940512,-0.00849858356940512,1.0084985835694051
1,1000000,-20.955974842767297,-20.39426523297491,159,279,1564.111187190095,1170.337237620322,0.2800009,-0.17664453374856748,-0.007251411976410705,-0.007251411976410705,1.0072514119764107
2,2000000,-20.993630573248407,-20.751677852348994,157,298,1587.6875018499618,1114.6074710702183,0.1,-0.343318803665965,-0.00831814655094638,-0.00831814655094638,1.0083181465509463
3,3000000,-20.59090909090909,-20.54225352112676,132,284,1568.934952927927,1115.446940450464,0.1,-0.44103976199740225,0.0030903940252382254,0.0030903940252382254,0.9969096059747617
4,4000000,-19.7265625,-19.830434782608695,128,230,1582.4683630789764,1110.6982998989806,0.1,-0.7535847955314299,0.027576133144475903,0.027576133144475903,0.9724238668555241
5,5000000,-17.76829268292683,-18.89119170984456,82,193,1583.5941392318314,1112.0521534362713,0.1,-0.719596665478856,0.08305119878394247,0.08305119878394247,0.9169488012160575
6,6000000,-17.340425531914892,-18.080291970802918,47,137,1585.822920318566,1109.472968892694,0.1,-0.6004339507874202,0.09517208124886989,0.09517208124886989,0.9048279187511301
7,7000000,-12.75,-16.186915887850468,40,107,1575.3808369508615,1071.181875433137,0.1,-0.34108217962120935,0.22521246458923513,0.22521246458923513,0.7747875354107648
8,8000000,-14.787878787878787,-14.316455696202532,33,79,1568.3592403292835,1064.2052503182053,0.1,-0.16568304181947596,0.16748218731221565,0.16748218731221565,0.8325178126877844
9,9000000,-12.5,-14.045454545454545,24,66,1576.1720127738345,1071.327486694407,0.1,-0.17904811156544775,0.23229461756373937,0.23229461756373937,0.7677053824362606
10,10000000,-14.481481481481481,-12.728813559322035,27,59,1572.3944333301672,1107.461135088598,0.1,-0.025283893564837262,0.17616199769174273,0.17616199769174273,0.8238380023082572
11,11000000,-11.2,-12.847457627118644,25,59,1577.670084150272,1112.6579522716313,0.1,-0.004631306777229206,0.2691218130311615,0.2691218130311615,0.7308781869688386
12,12000000,-5.95,-10.222222222222221,20,54,1573.062489214225,1108.26032798752,0.1,0.1128214839270547,0.41784702549575076,0.41784702549575076,0.5821529745042493
13,13000000,-5.809523809523809,-10.553571428571429,21,56,1573.1329010770282,1102.0362770383845,0.1,0.41681582296466874,0.4218265209766626,0.4218265209766626,0.5781734790233374
14,14000000,-13.846153846153847,-8.12,26,50,1592.1532895805856,1110.2184688561638,0.1,0.43212523086418925,0.19415994770102415,0.19415994770102415,0.8058400522989758
15,15000000,-3.25,-5.68,20,50,1591.8230912980177,1109.9296588750499,0.1,0.37031804154701525,0.4943342776203966,0.4943342776203966,0.5056657223796034
16,16000000,2.210526315789474,-6.36734693877551,19,49,1584.456432140169,1110.8643743650632,0.1,0.455185592715124,0.6490234083793052,0.6490234083793052,0.35097659162069483
17,17000000,8.28,-1.42,25,50,1590.5829792011236,1109.0835073878234,0.1,0.3783979828872139,0.8209631728045326,0.8209631728045326,0.17903682719546743
18,18000000,10.37037037037037,2.5306122448979593,27,49,1596.7039447146153,1109.3555345450077,0.1,0.5293040049203867,0.8801804637498689,0.8801804637498689,0.11981953625013109
19,19000000,9.3,5.163636363636364,30,55,1592.2367049009852,1110.7946126551462,0.1,0.5301832551677362,0.8498583569405099,0.8498583569405099,0.15014164305949007
20,20000000,9.586206896551724,6.578947368421052,29,57,1590.3939926554485,1118.8448004627817,0.1,0.7218166535882502,0.8579662010354597,0.8579662010354597,0.14203379896454027
21,21000000,15.175,8.5,40,64,1590.3279465322419,1133.0439451710297,0.1,0.7107522747242084,1.0162889518413598,1.0,0.0
22,22000000,15.973684210526315,10.08955223880597,38,67,1588.727761916643,1134.2455673487866,0.1,1.0991549836054215,1.038914566870434,1.0,0.0
23,23000000,13.333333333333334,10.271428571428572,39,70,1597.8456947595164,1143.0942839403995,0.1,0.9314880295385506,0.9641170915958451,0.9641170915958451,0.03588290840415487
24,24000000,14.093023255813954,10.780821917808218,43,73,1587.522201854852,1141.864280196459,0.1,0.9740107785622726,0.9856380525726333,0.9856380525726333,0.014361947427366739
25,25000000,13.55,10.071428571428571,40,70,1581.071035880534,1142.243884104938,0.1,0.9545118587858816,0.9702549575070822,0.9702549575070822,0.02974504249291776
26,26000000,14.236842105263158,10.164383561643836,38,73,1593.206734816773,1143.0898544299127,0.1,0.9624782173107929,0.989712240942299,0.989712240942299,0.010287759057700963
