iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,train_state_value,normalized_return,capped_normalized_return,human_gap
0,0,-21.0,nan,164,0,1566.8563567175936,nan,1.0,nan,-0.00849858356940512,-0.00849858356940512,1.0084985835694051
1,1000000,-20.943037974683545,-20.224719101123597,158,267,1558.5521492327937,1154.903960842202,0.820000225,-0.12179894432720385,-0.006884928461290244,-0.006884928461290244,1.0068849284612902
2,2000000,-21.0,-20.26277372262774,164,274,1570.5870352147308,1101.5089026559303,0.595000225,-0.3643186841673022,-0.00849858356940512,-0.00849858356940512,1.0084985835694051
3,3000000,-20.822695035460992,-20.372759856630825,141,279,1562.1579760437744,1106.733931365663,0.37000022499999996,-0.5781749498075575,-0.003475780041387892,-0.003475780041387892,1.0034757800413878
4,4000000,-20.130769230769232,-20.083650190114067,130,263,1572.9947292255413,1101.8620149908895,0.14500022499999998,-0.9283172571995514,0.016125517541948083,0.016125517541948083,0.9838744824580519
5,5000000,-16.65,-18.13125,60,160,1554.6250605963019,1087.8956060324579,0.1,-0.8216233912572065,0.11473087818696887,0.11473087818696887,0.8852691218130311
6,6000000,-18.166666666666668,-18.625,54,128,1540.8764114246449,1086.035159813881,0.1,-0.6880601717971884,0.07176581680830968,0.07176581680830968,0.9282341831916903
7,7000000,-17.174603174603174,-17.78688524590164,63,122,1553.5191723028702,1082.4310937144405,0.1,-0.5070404648854647,0.09986959845316787,0.09986959845316787,0.9001304015468321
8,8000000,-17.59375,-16.27433628318584,64,113,1546.6259272734378,1088.998093228966,0.1,-0.43678093595083717,0.08799575070821529,0.08799575070821529,0.9120042492917847
9,9000000,-18.177777777777777,-15.24561403508772,90,114,1533.986662791449,1086.0217627351974,0.1,-0.1239433618588942,0.07145105445388732,0.07145105445388732,0.9285489455461127
10,10000000,-16.464285714285715,-15.221238938053098,56,113,1542.0770829748362,1080.762846680176,0.1,0.037400089717673494,0.11999190611088624,0.11999190611088624,0.8800080938891137
11,11000000,-8.355555555555556,-12.732673267326733,45,101,1344.2055697394057,1029.3853428776167,0.1,-0.021133418580102644,0.3497009757632987,0.3497009757632987,0.6502990242367013
12,12000000,-10.056603773584905,-10.41304347826087,53,92,1354.5030294083533,878.3776147295046,0.1,0.1427151484012667,0.30151264097493186,0.30151264097493186,0.6984873590250682
13,13000000,-5.2894736842105265,-8.056818181818182,38,88,1516.3376209748888,879.9832067679422,0.1,0.22869279259636838,0.4365588191441777,0.4365588191441777,0.5634411808558223
