iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,train_state_value,normalized_return,capped_normalized_return,human_gap
0,0,-20.729559748427672,nan,159,0,1566.776533605977,nan,1.0,nan,-0.0008373866410105558,-0.0008373866410105558,1.0008373866410105
1,1000000,-20.993197278911566,-20.312267657992564,147,269,1578.6480037489703,1172.115182509574,0.820000225,-0.21507841291932486,-0.008305871923840422,-0.008305871923840422,1.0083058719238405
2,2000000,-21.0,-20.2992700729927,162,274,1558.9411390676541,1101.9858688251063,0.595000225,-0.3343824862062311,-0.00849858356940512,-0.00849858356940512,1.0084985835694051
3,3000000,-20.93288590604027,-20.405017921146953,149,279,1582.8088454602746,1105.0210233526507,0.37000022499999996,-0.5958699729081195,-0.00659733444873286,-0.00659733444873286,1.006597334448733
4,4000000,-19.581632653061224,-20.222672064777328,98,247,1572.0303766914853,1103.1210856638388,0.14500022499999998,-0.7324080454570666,0.03168179453084351,0.03168179453084351,0.9683182054691565
5,5000000,-20.08888888888889,-18.35,90,160,1567.4373816314849,1101.2446233879682,0.1,-0.6691160460816338,0.0173119294932326,0.0173119294932326,0.9826880705067674
6,6000000,-15.553191489361701,-18.3206106870229,47,131,1544.3856702686783,1090.1862277994562,0.1,-0.6519802765317404,0.14580194081128323,0.14580194081128323,0.8541980591887168
7,7000000,-17.19607843137255,-16.683168316831683,51,101,1551.2971434602816,1087.6384849412611,0.1,-0.6084159637173964,0.09926123423873799,0.09926123423873799,0.900738765761262
8,8000000,-16.804347826086957,-16.676470588235293,46,102,1536.127739034687,1071.8520902193104,0.1,-0.5015703466480973,0.1103584185244488,0.1103584185244488,0.8896415814755512
9,9000000,-15.674418604651162,-15.034883720930232,43,86,1569.30515817606,1083.7018582719368,0.1,-0.26128438553939337,0.14236774491073195,0.14236774491073195,0.8576322550892681
10,10000000,-15.692307692307692,-15.0,39,83,1529.1440487532723,1072.3606199907047,0.1,-0.1459850279375863,0.14186097188930052,0.14186097188930052,0.8581390281106995
11,11000000,-14.925,-14.903614457831326,40,83,1552.5831205527145,1081.3446711823676,0.1,0.00475056385817077,0.16359773371104813,0.16359773371104813,0.8364022662889519
12,12000000,-11.81578947368421,-14.892857142857142,38,84,1528.4300962839857,1072.6528462082422,0.1,0.049427732591282934,0.2516773520202773,0.2516773520202773,0.7483226479797227
13,13000000,-12.34375,-13.175,32,80,1551.3475979725545,1078.089315130462,0.1,0.2531193751733228,0.23672096317280453,0.23672096317280453,0.7632790368271954
14,14000000,-12.114285714285714,-12.379746835443038,35,79,1544.259927388206,1074.241352039807,0.1,0.3442030125558828,0.24322136786726023,0.24322136786726023,0.7567786321327398
15,15000000,-9.484848484848484,-10.894736842105264,33,76,1557.7354161829912,1086.5778506282013,0.1,0.3346161898575174,0.31770967465018457,0.31770967465018457,0.6822903253498154
