iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,train_state_value,normalized_return,capped_normalized_return,human_gap
0,0,-21.0,nan,164,0,1556.323420131938,nan,1.0,nan,-0.00849858356940512,-0.00849858356940512,1.0084985835694051
1,1000000,-20.735849056603772,-20.412186379928315,159,279,1550.681886340786,1159.447862505224,0.2800009,-0.16133799252775957,-0.0010155540114383293,-0.0010155540114383293,1.0010155540114383
2,2000000,-21.0,-20.72053872053872,164,297,1549.3828791287094,1107.8546505496095,0.1,-0.2560486232420207,-0.00849858356940512,-0.00849858356940512,1.0084985835694051
3,3000000,-20.582781456953644,-20.401408450704224,151,284,1556.2387467844367,1107.8896327217149,0.1,-0.6278202908759155,0.00332063861321121,0.00332063861321121,0.9966793613867888
4,4000000,-18.0,-19.535864978902953,77,237,1557.3189762732688,1106.987513716092,0.1,-0.7685615787499049,0.07648725212464588,0.07648725212464588,0.9235127478753541
5,5000000,-15.829268292682928,-17.11764705882353,82,170,1538.389482981944,1095.491522628792,0.1,-0.6170201138319967,0.13798106819595105,0.13798106819595105,0.862018931804049
6,6000000,-11.597014925373134,-15.633540372670808,67,161,1517.4995295417896,1087.5819360578753,0.1,-0.552818119633138,0.2578749312925458,0.2578749312925458,0.7421250687074542
7,7000000,-14.157142857142857,-13.624113475177305,70,141,1524.9094175475934,1083.2929486798394,0.1,-0.6559663925832679,0.18535006070416837,0.18535006070416837,0.8146499392958316
8,8000000,-10.654545454545454,-13.5,55,136,1524.2122802600252,1081.0008553729162,0.1,-0.42748174888071017,0.28457378315735254,0.28457378315735254,0.7154262168426475
9,9000000,-11.516666666666667,-11.379310344827585,60,116,1540.2306151340815,1092.6045680673863,0.1,-0.22841843279313417,0.26015108593012276,0.26015108593012276,0.7398489140698772
10,10000000,-16.67058823529412,-10.391304347826088,85,115,1532.4743573421492,1097.7416941257984,0.1,-0.020741686716897963,0.11414764205965668,0.11414764205965668,0.8858523579403433
11,11000000,-7.132075471698113,-7.604166666666667,53,96,1539.190597523677,1095.417182388213,0.1,0.159512814573232,0.3843604682238495,0.3843604682238495,0.6156395317761505
12,12000000,-7.5,-6.358695652173913,50,92,1529.716797326388,1095.4993809392422,0.1,0.333639012526693,0.37393767705382436,0.37393767705382436,0.6260623229461757
13,13000000,-7.276595744680851,-5.712643678160919,47,87,1535.6656503180657,1096.271551515004,0.1,0.5960188794883546,0.38026640949912605,0.38026640949912605,0.619733590500874
14,14000000,-11.655172413793103,-5.2,58,85,1538.401155719751,1096.8921456325725,0.1,0.505375916294279,0.25622741037413305,0.25622741037413305,0.7437725896258669
15,15000000,-16.253164556962027,-6.271604938271605,79,81,1536.19768482911,1095.2761671367634,0.1,0.6878709989981467,0.1259726754401692,0.1259726754401692,0.8740273245598308
16,16000000,-4.444444444444445,-5.657534246575342,36,73,1537.586103778133,1097.0633797390608,0.1,0.7019390721862407,0.46049732451998737,0.46049732451998737,0.5395026754800126
17,17000000,-8.5,-5.6625,44,80,1540.3668861475567,1097.2724299025163,0.1,0.8544405086091797,0.34560906515580736,0.34560906515580736,0.6543909348441926
18,18000000,6.615384615384615,-1.3157894736842106,39,76,1541.2220749309172,1099.8648752713366,0.1,1.0073744065147492,0.7738069296142951,0.7738069296142951,0.2261930703857049
19,19000000,-9.736842105263158,0.15,57,80,1527.698294468062,1094.5834526533197,0.1,0.9152681943640457,0.3105710451766811,0.3105710451766811,0.6894289548233189
