iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,train_state_value,normalized_return,capped_normalized_return,human_gap
25,25000000,-0.7307692307692307,-4.081967213114754,26,61,1566.8641879924369,1122.654719595426,0.1,0.9514479971413193,0.5657005883634779,0.5657005883634779,0.4342994116365221
26,26000000,-4.178571428571429,-1.7666666666666666,28,60,1558.67017025356,1125.9637423816343,0.1,0.9857094312380916,0.4680291380008095,0.4680291380008095,0.5319708619991905
27,27000000,4.935483870967742,2.103448275862069,31,58,1555.9607691746928,1118.7352925451157,0.1,1.0011796069477694,0.7262176733985196,0.7262176733985196,0.2737823266014804
28,28000000,2.103448275862069,1.5593220338983051,29,59,1553.7990462108892,1114.6762593544909,0.1,0.8670265257152889,0.6459900361434013,0.6459900361434013,0.35400996385659866
29,29000000,5.724137931034483,2.3833333333333333,29,60,1547.9763939259558,1113.1465283077541,0.1,1.0238842187820303,0.7485591481879458,0.7485591481879458,0.2514408518120542
30,30000000,5.46875,3.564516129032258,32,62,1547.9886805162819,1111.7692223155884,0.1,1.1230238165987445,0.7413243626062324,0.7413243626062324,0.25867563739376764
31,31000000,5.290322580645161,2.6031746031746033,31,63,1549.2267873612604,1115.185309770948,0.1,1.065191827203596,0.7362697614913644,0.7362697614913644,0.26373023850863564
32,32000000,8.727272727272727,3.2615384615384615,33,65,1545.6663642130698,1113.9487689417383,0.1,1.1867562001845111,0.8336337883080093,0.8336337883080093,0.16636621169199073
33,33000000,6.666666666666667,3.84375,33,64,1545.0987721097927,1113.5645906506434,0.1,1.0790365577264254,0.7752596789423986,0.7752596789423986,0.22474032105760144
34,34000000,11.421052631578947,5.514705882352941,38,68,1549.402300507206,1113.413132624189,0.1,0.9481717019807779,0.9099448337557776,0.9099448337557776,0.09005516624422238
35,35000000,11.820512820512821,6.549295774647887,39,71,1545.7995650848818,1113.7391721232955,0.1,1.4804182866848654,0.9212609864167939,0.9212609864167939,0.07873901358320612
36,36000000,10.125,7.564102564102564,40,78,1541.848632517323,1106.990424035744,0.1,1.1959769834875695,0.873229461756374,0.873229461756374,0.12677053824362605
37,37000000,8.078947368421053,9.25,38,80,1547.3132663090316,1103.5428612798187,0.1,1.2343093161804317,0.8152676308334575,0.8152676308334575,0.18473236916654245
38,38000000,9.317073170731707,8.1875,41,80,1541.9142658586502,1108.204913686011,0.1,1.3875492447292184,0.8503420161680371,0.8503420161680371,0.14965798383196294
39,39000000,16.25,9.268292682926829,48,82,1542.867136732495,1109.1377820307896,0.1,1.4747200722984852,1.0467422096317283,1.0,0.0
40,40000000,10.642857142857142,9.698795180722891,42,83,1545.3249619790024,1110.4675200096665,0.1,1.352072550195287,0.8878996357749899,0.8878996357749899,0.11210036422501013
41,41000000,9.282051282051283,10.25,39,84,1546.218641071925,1109.4867946041652,0.1,1.2824588680228042,0.8493498946756737,0.8493498946756737,0.15065010532432632
42,42000000,16.729166666666668,10.2,48,85,1551.4073910765708,1115.5247326151032,0.1,1.258611141400272,1.0603163361661947,1.0,0.0
43,43000000,16.98,11.409090909090908,50,88,1550.5743654863022,1119.3524987268809,0.1,1.2810293962181454,1.0674220963172805,1.0,0.0
44,44000000,15.479166666666666,10.616279069767442,48,86,1546.741538743021,1119.0921413463539,0.1,1.353412772042494,1.0249055712936734,1.0,0.0
45,45000000,14.510204081632653,10.574712643678161,49,87,1546.6423962507408,1120.7104637323437,0.1,1.4844384828953727,0.9974562062785455,0.9974562062785455,0.0025437937214545236
46,46000000,12.630434782608695,10.0,46,85,1548.044778956371,1122.3201351401244,0.1,1.4771755902238637,0.9442049513486882,0.9442049513486882,0.055795048651311796
47,47000000,12.363636363636363,10.094117647058823,44,85,1549.7842677095718,1117.990794364794,0.1,1.557123504259771,0.9366469224826166,0.9366469224826166,0.0633530775173834
48,48000000,14.869565217391305,11.104651162790697,46,86,1544.6534178688478,1117.0593523370765,0.1,1.342402088175682,1.0076364084246827,1.0,0.0
49,49000000,13.311111111111112,11.839080459770114,45,87,1540.0115972606584,1104.7085688027155,0.1,1.3679048212912506,0.9634875668870004,0.9634875668870004,0.036512433112999565
50,50000000,14.733333333333333,10.930232558139535,45,86,1539.738685890111,1078.761758264748,0.1,1.3350778539902002,1.0037771482530689,1.0,0.0
